method,split,recall@1,recall@3,recall@5,mean_rank_first_malignant,median_rank_first_malignant,mean_percentile_rank_first_malignant,mean_NNR_to_first_malignant,n_malignant_patients_evaluated
classifier_only,val,0.9545454545454546,1.0,1.0,1.0454545454545454,1.0,0.060759960333193,1.0454545454545454,22
random,val,0.0659090909090909,0.16136363636363632,0.3022727272727272,9.693181818181817,9.125,0.5293470844998183,9.693181818181817,22
context_only[centroid],val,1.0,1.0,1.0,1.0,1.0,0.05772965730288997,1.0,22
combined[centroid],val,1.0,1.0,1.0,1.0,1.0,0.05772965730288997,1.0,22
context_only[cosine_centroid],val,0.9545454545454546,1.0,1.0,1.0454545454545454,1.0,0.05947790905114172,1.0454545454545454,22
combined[cosine_centroid],val,1.0,1.0,1.0,1.0,1.0,0.05772965730288997,1.0,22
context_only[knn],val,1.0,1.0,1.0,1.0,1.0,0.05772965730288997,1.0,22
combined[knn],val,1.0,1.0,1.0,1.0,1.0,0.05772965730288997,1.0,22
classifier_only,test,1.0,1.0,1.0,1.0,1.0,0.061803928990798014,1.0,22
random,test,0.04772727272727272,0.17045454545454541,0.29999999999999993,9.136363636363637,8.825,0.5452324365894496,9.136363636363637,22
context_only[centroid],test,1.0,1.0,1.0,1.0,1.0,0.061803928990798014,1.0,22
combined[centroid],test,1.0,1.0,1.0,1.0,1.0,0.061803928990798014,1.0,22
context_only[cosine_centroid],test,0.9090909090909091,0.9090909090909091,0.9545454545454546,1.4545454545454546,1.0,0.08321367866141725,1.4545454545454546,22
combined[cosine_centroid],test,0.9545454545454546,1.0,1.0,1.0454545454545454,1.0,0.06432918151605055,1.0454545454545454,22
context_only[knn],test,1.0,1.0,1.0,1.0,1.0,0.061803928990798014,1.0,22
combined[knn],test,1.0,1.0,1.0,1.0,1.0,0.061803928990798014,1.0,22
